Time,Temperature
07/06/2024 17:00:00,16.299
07/06/2024 17:10:00,16.278
07/06/2024 17:20:00,16.246
07/06/2024 17:30:00,16.214
07/06/2024 17:40:00,16.203
07/06/2024 17:50:00,16.171
07/06/2024 18:00:00,16.138
07/06/2024 18:10:00,16.117
07/06/2024 18:20:00,16.096
07/06/2024 18:30:00,16.063
07/06/2024 18:40:00,16.053
07/06/2024 18:50:00,16.031
07/06/2024 19:00:00,15.999
07/06/2024 19:10:00,15.988
07/06/2024 19:20:00,15.967
07/06/2024 19:30:00,15.935
07/06/2024 19:40:00,15.913
07/06/2024 19:50:00,15.892
07/06/2024 20:00:00,15.870
07/06/2024 20:10:00,15.849
07/06/2024 20:20:00,15.827
07/06/2024 20:30:00,15.806
07/06/2024 20:40:00,15.785
07/06/2024 20:50:00,15.763
07/06/2024 21:00:00,15.742
07/06/2024 21:10:00,15.720
07/06/2024 21:20:00,15.699
07/06/2024 21:30:00,15.677
07/06/2024 21:40:00,15.656
07/06/2024 21:50:00,15.634
07/06/2024 22:00:00,15.613
07/06/2024 22:10:00,15.592
07/06/2024 22:20:00,15.570
07/06/2024 22:30:00,15.549
07/06/2024 22:40:00,15.527
07/06/2024 22:50:00,15.506
07/06/2024 23:00:00,15.484
07/06/2024 23:10:00,15.474
07/06/2024 23:20:00,15.441
07/06/2024 23:30:00,15.431
07/06/2024 23:40:00,15.409
07/06/2024 23:50:00,15.388
07/07/2024 00:00:00,15.377
07/07/2024 00:10:00,15.366
07/07/2024 00:20:00,15.345
07/07/2024 00:30:00,15.323
07/07/2024 00:40:00,15.302
07/07/2024 00:50:00,15.280
07/07/2024 01:00:00,15.280
07/07/2024 01:10:00,15.259
07/07/2024 01:20:00,15.238
07/07/2024 01:30:00,15.216
07/07/2024 01:40:00,15.205
07/07/2024 01:50:00,15.195
07/07/2024 02:00:00,15.173
07/07/2024 02:10:00,15.163
07/07/2024 02:20:00,15.130
07/07/2024 02:30:00,15.130
07/07/2024 02:40:00,15.109
07/07/2024 02:50:00,15.087
07/07/2024 03:00:00,15.077
07/07/2024 03:10:00,15.066
07/07/2024 03:20:00,15.055
07/07/2024 03:30:00,15.045
07/07/2024 03:40:00,15.023
07/07/2024 03:50:00,15.012
07/07/2024 04:00:00,14.991
07/07/2024 04:10:00,14.980
07/07/2024 04:20:00,14.969
07/07/2024 04:30:00,14.948
07/07/2024 04:40:00,14.937
07/07/2024 04:50:00,14.927
07/07/2024 05:00:00,14.927
07/07/2024 05:10:00,14.916
07/07/2024 05:20:00,14.905
07/07/2024 05:30:00,14.894
07/07/2024 05:40:00,14.884
07/07/2024 05:50:00,14.894
07/07/2024 06:00:00,14.884
07/07/2024 06:10:00,14.873
07/07/2024 06:20:00,14.873
07/07/2024 06:30:00,14.873
07/07/2024 06:40:00,14.873
07/07/2024 06:50:00,14.873
07/07/2024 07:00:00,14.862
07/07/2024 07:10:00,14.862
07/07/2024 07:20:00,14.873
07/07/2024 07:30:00,14.862
07/07/2024 07:40:00,14.873
07/07/2024 07:50:00,14.873
07/07/2024 08:00:00,14.873
07/07/2024 08:10:00,14.873
07/07/2024 08:20:00,14.873
07/07/2024 08:30:00,14.873
07/07/2024 08:40:00,14.873
07/07/2024 08:50:00,14.884
07/07/2024 09:00:00,14.894
07/07/2024 09:10:00,14.905
07/07/2024 09:20:00,14.905
07/07/2024 09:30:00,14.916
07/07/2024 09:40:00,14.927
07/07/2024 09:50:00,14.937
07/07/2024 10:00:00,14.948
07/07/2024 10:10:00,14.948
07/07/2024 10:20:00,14.969
07/07/2024 10:30:00,14.980
07/07/2024 10:40:00,14.991
07/07/2024 10:50:00,15.023
07/07/2024 11:00:00,15.045
07/07/2024 11:10:00,15.077
07/07/2024 11:20:00,15.109
07/07/2024 11:30:00,15.130
07/07/2024 11:40:00,15.130
07/07/2024 11:50:00,15.130
07/07/2024 12:00:00,15.130
07/07/2024 12:10:00,15.163
07/07/2024 12:20:00,15.173
07/07/2024 12:30:00,15.184
07/07/2024 12:40:00,15.195
07/07/2024 12:50:00,15.216
07/07/2024 13:00:00,15.248
07/07/2024 13:10:00,15.280
07/07/2024 13:20:00,15.313
07/07/2024 13:30:00,15.323
07/07/2024 13:40:00,15.334
07/07/2024 13:50:00,15.356
07/07/2024 14:00:00,15.366
07/07/2024 14:10:00,15.366
07/07/2024 14:20:00,15.366
07/07/2024 14:30:00,15.377
07/07/2024 14:40:00,15.388
07/07/2024 14:50:00,15.398
07/07/2024 15:00:00,15.398
07/07/2024 15:10:00,15.398
07/07/2024 15:20:00,15.398
07/07/2024 15:30:00,15.388
07/07/2024 15:40:00,15.388
07/07/2024 15:50:00,15.377
07/07/2024 16:00:00,15.366
07/07/2024 16:10:00,15.366
07/07/2024 16:20:00,15.366
07/07/2024 16:30:00,15.366
07/07/2024 16:40:00,15.366
07/07/2024 16:50:00,15.366
07/07/2024 17:00:00,15.345
07/07/2024 17:10:00,15.334
07/07/2024 17:20:00,15.334
07/07/2024 17:30:00,15.313
07/07/2024 17:40:00,15.302
07/07/2024 17:50:00,15.302
07/07/2024 18:00:00,15.280
07/07/2024 18:10:00,15.259
07/07/2024 18:20:00,15.248
07/07/2024 18:30:00,15.238
07/07/2024 18:40:00,15.216
07/07/2024 18:50:00,15.205
07/07/2024 19:00:00,15.195
07/07/2024 19:10:00,15.163
07/07/2024 19:20:00,15.141
07/07/2024 19:30:00,15.130
07/07/2024 19:40:00,15.109
07/07/2024 19:50:00,15.087
07/07/2024 20:00:00,15.066
07/07/2024 20:10:00,15.045
07/07/2024 20:20:00,15.034
07/07/2024 20:30:00,15.012
07/07/2024 20:40:00,14.991
07/07/2024 20:50:00,14.969
07/07/2024 21:00:00,14.937
07/07/2024 21:10:00,14.916
07/07/2024 21:20:00,14.905
07/07/2024 21:30:00,14.873
07/07/2024 21:40:00,14.851
07/07/2024 21:50:00,14.830
07/07/2024 22:00:00,14.798
07/07/2024 22:10:00,14.776
07/07/2024 22:20:00,14.755
07/07/2024 22:30:00,14.734
07/07/2024 22:40:00,14.701
07/07/2024 22:50:00,14.680
07/07/2024 23:00:00,14.648
07/07/2024 23:10:00,14.637
07/07/2024 23:20:00,14.605
07/07/2024 23:30:00,14.583
07/07/2024 23:40:00,14.562
07/07/2024 23:50:00,14.530
07/08/2024 00:00:00,14.498
07/08/2024 00:10:00,14.476
07/08/2024 00:20:00,14.455
07/08/2024 00:30:00,14.422
07/08/2024 00:40:00,14.390
07/08/2024 00:50:00,14.369
07/08/2024 01:00:00,14.347
07/08/2024 01:10:00,14.326
07/08/2024 01:20:00,14.294
07/08/2024 01:30:00,14.272
07/08/2024 01:40:00,14.240
07/08/2024 01:50:00,14.219
07/08/2024 02:00:00,14.208
07/08/2024 02:10:00,14.176
07/08/2024 02:20:00,14.154
07/08/2024 02:30:00,14.133
07/08/2024 02:40:00,14.101
07/08/2024 02:50:00,14.090
07/08/2024 03:00:00,14.069
07/08/2024 03:10:00,14.036
07/08/2024 03:20:00,14.004
07/08/2024 03:30:00,13.972
07/08/2024 03:40:00,13.951
07/08/2024 03:50:00,13.918
07/08/2024 04:00:00,13.876
07/08/2024 04:10:00,13.843
07/08/2024 04:20:00,13.811
07/08/2024 04:30:00,13.779
07/08/2024 04:40:00,13.758
07/08/2024 04:50:00,13.725
07/08/2024 05:00:00,13.704
07/08/2024 05:10:00,13.672
07/08/2024 05:20:00,13.661
07/08/2024 05:30:00,13.640
07/08/2024 05:40:00,13.618
07/08/2024 05:50:00,13.607
07/08/2024 06:00:00,13.597
07/08/2024 06:10:00,13.586
07/08/2024 06:20:00,13.586
07/08/2024 06:30:00,13.575
07/08/2024 06:40:00,13.564
07/08/2024 06:50:00,13.554
07/08/2024 07:00:00,13.554
07/08/2024 07:10:00,13.554
07/08/2024 07:20:00,13.564
07/08/2024 07:30:00,13.586
07/08/2024 07:40:00,13.586
07/08/2024 07:50:00,13.607
07/08/2024 08:00:00,13.618
07/08/2024 08:10:00,13.640
07/08/2024 08:20:00,13.661
07/08/2024 08:30:00,13.672
07/08/2024 08:40:00,13.682
07/08/2024 08:50:00,13.693
07/08/2024 09:00:00,13.704
07/08/2024 09:10:00,13.715
07/08/2024 09:20:00,13.725
07/08/2024 09:30:00,13.747
07/08/2024 09:40:00,13.768
07/08/2024 09:50:00,13.779
07/08/2024 10:00:00,13.800
07/08/2024 10:10:00,13.811
07/08/2024 10:20:00,13.843
07/08/2024 10:30:00,13.843
07/08/2024 10:40:00,13.865
07/08/2024 10:50:00,13.865
07/08/2024 11:00:00,13.897
07/08/2024 11:10:00,13.908
07/08/2024 11:20:00,13.929
07/08/2024 11:30:00,13.951
07/08/2024 11:40:00,13.961
07/08/2024 11:50:00,13.983
07/08/2024 12:00:00,13.993
07/08/2024 12:10:00,14.015
07/08/2024 12:20:00,14.015
07/08/2024 12:30:00,14.036
07/08/2024 12:40:00,14.036
07/08/2024 12:50:00,14.047
07/08/2024 13:00:00,14.058
